Title;Authors
Comprehensive genomic analysis reveals dynamic evolution of endogenous retroviruses that code for retroviral-like protein domains; Mahoko Takahashi Ueda, Kirill Kryukov, Satomi Mitsuhashi, Hiroaki Mitsuhashi, Tadashi Imanishi, So Nakagawa
The UCSC repeat browser allows discovery and visualization of evolutionary conflict across repeat families; Jason D. Fernandes, Armando Zamudio-Hurtado, Hiram Clawson, W. James Kent, David Haussler, Sofie R. Salama, Maximilian Haeussler
Integrating transposable elements in the 3D genome; Alexandros Bousios, Hans-Wilhelm Nützmann, Dorothy Buck, Davide Michieletto
Hybrid dysgenesis in Drosophila virilis results in clusters of mitotic recombination and loss-of-heterozygosity but leaves meiotic recombination unaltered; Lucas W. Hemmer, Guilherme B. Dias, Brittny Smith, Kelley Van Vaerenberghe, Ashley Howard, Casey M. Bergman, Justin P. Blumenstiel
Finding and extending ancient simple sequence repeat-derived regions in the human genome; Jonathan A. Shortt, Robert P. Ruggiero, Corey Cox, Aaron C. Wacholder, David D. Pollock
Identification and characterization of ERV-W-like sequences in Platyrrhini species provides new insights into the evolutionary history of ERV-W in primates; Nicole Grandi, Maria Paola Pisano, Martina Demurtas, Jonas Blomberg, Gkikas Magiorkinis, Jens Mayer, Enzo Tramontano
Variation in base composition underlies functional and evolutionary divergence in non-LTR retrotransposons; Robert P. Ruggiero, Stéphane Boissinot
Integrated Mobile Element Scanning (ME-Scan) method for identifying multiple types of polymorphic mobile element insertions; Jui Wan Loh, Hongseok Ha, Timothy Lin, Nawei Sun, Kathleen H. Burns, Jinchuan Xing
LUMI-PCR: an Illumina platform ligation-mediated PCR protocol for integration site cloning, provides molecular quantitation of integration sites; Joanna C. Dawes, Philip Webster, Barbara Iadarola, Claudia Garcia-Diaz, Marian Dore, Bruce J. Bolt, Hamlata Dewchand, Gopuraja Dharmalingam, Alex P. McLatchie, Jakub Kaczor, Juan J. Caceres, Alberto Paccanaro, Laurence Game, Simona Parrinello, Anthony G. Uren
Nested plant LTR retrotransposons target specific regions of other elements, while all LTR retrotransposons often target palindromes and nucleosome-occupied regions: in silico study; Pavel Jedlicka, Matej Lexa, Ivan Vanat, Roman Hobza, Eduard Kejnovsky
Variable genome evolution in fungi after transposon-mediated amplification of a housekeeping gene; Braham Dhillon, Gert H. J. Kema, Richard C. Hamelin, Burt H. Bluhm, Stephen B. Goodwin
Characterization of a novel Helitron family in insect genomes: insights into classification, evolution and horizontal transfer; Guangjie Han, Nan Zhang, Jian Xu, Heng Jiang, Caihong Ji, Ze Zhang, Qisheng Song, David Stanley, Jichao Fang, Jianjun Wang
High frequency of horizontal transfer in Jockey families (LINE order) of drosophilids; Izabella L. Tambones, Annabelle Haudry, Maryanna C. Simão, Claudia M. A. Carareto
Characterization of a relaxase belonging to the MOBT family, a widespread family in Firmicutes mediating the transfer of ICEs; Nicolas Soler, Emilie Robert, Isaure Chauvot de Beauchêne, Philippe Monteiro, Virginie Libante, Bernard Maigret, Johan Staub, David W. Ritchie, Gérard Guédon, Sophie Payot, Marie-Dominique Devignes, Nathalie Leblond-Bourget
A benchmark of transposon insertion detection tools using real data; Pol Vendrell-Mir, Fabio Barteri, Miriam Merenciano, Josefa González, Josep M. Casacuberta, Raúl Castanera
A mobile restriction modification system consisting of methylases on the IncA/C plasmid; Ruibai Wang, Jing Lou, Jie Li
Horizontal transfer of a retrotransposon between parasitic nematodes and the common shrew; Sonja M. Dunemann, James D. Wasmuth
Sex and the TEs: transposable elements in sexual development and function in animals; Corentin Dechaud, Jean-Nicolas Volff, Manfred Schartl, Magali Naville
